anio	comuna	codigo_comuna	region	id_region	habitantes	indice_de_desarrollo_humano	indice_pobreza_multidimensional	v	v_ranking	v_cat	v1	v1_cat	v3	v3_cat	v2	v2_cat	v_gauge	v1_gauge	v2_gauge	v3_gauge
2024	Juan Fernández	05104	Valparaíso	5	1087	0.69	0.056	NA	NA	NA	0.48	MEDIO BAJO	NA	NA	0.411	BAJO	NA	0.459	0.207	NA
2024	Puchuncaví	05105	Valparaíso	5	20959	0.606	0.316	0.544	95	MEDIO ALTO	0.694	ALTO	0.416	BAJO	0.523	MEDIO ALTO	0.69	0.962	0.622	0.161
2024	Quintero	05107	Valparaíso	5	38040	0.605	0.234	0.535	115	MEDIO ALTO	0.578	ALTO	0.474	MEDIO BAJO	0.554	MEDIO ALTO	0.62	0.765	0.735	0.38
2024	Viña del Mar	05109	Valparaíso	5	369303	0.696	0.149	0.643	3	ALTO	0.688	ALTO	0.499	MEDIO BAJO	0.743	ALTO	0.993	0.959	0.988	0.473
2024	Isla de Pascua	05201	Valparaíso	5	8743	0.674	0.125	0.398	284	BAJO	0.462	MEDIO BAJO	0.321	BAJO	0.411	BAJO	0.062	0.416	0.207	0.046
2024	Los Andes	05301	Valparaíso	5	68788	0.675	0.152	0.594	25	ALTO	0.656	ALTO	0.519	MEDIO ALTO	0.607	ALTO	0.923	0.936	0.834	0.579
2024	Calle Larga	05302	Valparaíso	5	17388	0.641	0.145	0.564	60	ALTO	0.526	MEDIO ALTO	0.608	ALTO	0.557	MEDIO ALTO	0.803	0.622	0.741	0.906
2024	Rinconada	05303	Valparaíso	5	11847	0.681	0.251	0.478	199	MEDIO BAJO	0.573	MEDIO ALTO	0.431	BAJO	0.43	MEDIO BAJO	0.343	0.738	0.282	0.211
2024	San Esteban	05304	Valparaíso	5	21493	0.66	0.21	0.488	182	MEDIO BAJO	0.528	MEDIO ALTO	0.444	BAJO	0.493	MEDIO ALTO	0.397	0.628	0.529	0.25
2024	La Ligua	05401	Valparaíso	5	38259	0.57	0.236	0.493	175	MEDIO BAJO	0.519	MEDIO ALTO	0.518	MEDIO ALTO	0.44	MEDIO BAJO	0.423	0.602	0.334	0.575
2024	Cabildo	05402	Valparaíso	5	20748	0.6	0.205	0.472	208	MEDIO BAJO	0.456	MEDIO BAJO	0.476	MEDIO BAJO	0.485	MEDIO BAJO	0.313	0.392	0.5	0.393
2024	Papudo	05403	Valparaíso	5	6385	0.637	0.189	0.452	238	BAJO	0.588	ALTO	0.296	BAJO	0.472	MEDIO BAJO	0.214	0.808	0.442	0.036
2024	Petorca	05404	Valparaíso	5	10615	0.566	0.165	0.417	272	BAJO	0.366	BAJO	0.31	BAJO	0.576	ALTO	0.099	0.072	0.785	0.043
2024	Zapallar	05405	Valparaíso	5	8281	0.695	0.266	0.607	15	ALTO	0.63	ALTO	0.495	MEDIO BAJO	0.696	ALTO	0.953	0.898	0.971	0.453
2024	Quillota	05501	Valparaíso	5	100196	0.626	0.155	0.571	53	ALTO	0.62	ALTO	0.447	MEDIO BAJO	0.645	ALTO	0.833	0.872	0.907	0.26
2024	Calera	05502	Valparaíso	5	53855	0.595	0.167	0.562	63	ALTO	0.605	ALTO	0.552	MEDIO ALTO	0.528	MEDIO ALTO	0.793	0.846	0.645	0.709
2024	Hijuelas	05503	Valparaíso	5	19389	0.592	0.223	0.478	200	MEDIO BAJO	0.494	MEDIO ALTO	0.518	MEDIO ALTO	0.422	BAJO	0.343	0.509	0.244	0.575
2024	La Cruz	05504	Valparaíso	5	27279	0.715	0.14	NA	NA	NA	0.612	ALTO	NA	NA	0.512	MEDIO ALTO	NA	0.855	0.59	NA
2024	Nogales	05506	Valparaíso	5	23621	0.618	0.151	0.491	178	MEDIO BAJO	0.537	MEDIO ALTO	0.506	MEDIO BAJO	0.43	MEDIO BAJO	0.413	0.64	0.282	0.497
2024	San Antonio	05601	Valparaíso	5	98169	0.602	0.142	0.498	164	MEDIO BAJO	0.597	ALTO	0.423	BAJO	0.475	MEDIO BAJO	0.46	0.826	0.471	0.188
2024	Algarrobo	05602	Valparaíso	5	15886	0.624	0.196	0.597	22	ALTO	0.811	ALTO	0.408	BAJO	0.573	ALTO	0.93	1	0.776	0.141
2024	Cartagena	05603	Valparaíso	5	26652	0.515	0.284	0.572	48	ALTO	0.6	ALTO	0.462	MEDIO BAJO	0.655	ALTO	0.847	0.831	0.922	0.32
2024	El Quisco	05604	Valparaíso	5	18593	0.549	0.117	0.556	75	ALTO	0.727	ALTO	0.296	BAJO	0.645	ALTO	0.757	0.983	0.907	0.036
2024	El Tabo	05605	Valparaíso	5	15006	0.539	0.207	0.604	17	ALTO	0.736	ALTO	0.43	BAJO	0.645	ALTO	0.947	0.985	0.907	0.207
2024	Santo Domingo	05606	Valparaíso	5	12456	0.728	0.161	0.678	2	ALTO	0.718	ALTO	0.732	ALTO	0.584	ALTO	0.997	0.98	0.799	0.99
2024	San Felipe	05701	Valparaíso	5	86062	0.632	0.172	0.552	79	MEDIO ALTO	0.578	ALTO	0.467	MEDIO BAJO	0.61	ALTO	0.74	0.765	0.846	0.35
