Comuna	Código Comuna	Región	Habitantes	Índice de desarrollo humano	índice pobreza multidimensional	Valor Índice de inclusión digital	Categoría Índice de inclusión digital	Valor sub indicador 1_Acceso	Categoría sub indicador 1_Acceso	Valor sub indicador 2_Político	Categoría sub indicador 2_Político	Valor sub indicador 3_Educativo	Categoría sub indicador 3_Educativo	Valor Índice de inclusión digital	Valor sub indicador 1_Acceso	Valor sub indicador 2_Político	Valor sub indicador 3_Educativo
La Granja	13111	Metropolitana	120.249	0,568	0,223	0,585	Alto	0,572	Medio Alto	0,592	Alto	0,591	Alto	0,584758398	0,571663849	0,591501712	0,591109633
La Pintana	13112	Metropolitana	189.151	0,498	0,27	0,513	Medio Alto	0,437	Medio bajo	0,552	Medio Alto	0,551	Medio Alto	0,513208762	0,437282922	0,551724193	0,550619172
La Reina	13113	Metropolitana	99.686	0,862	0,049	0,614	Alto	0,648	Alto	0,769	Alto	0,426	Bajo	0,614324521	0,648105162	0,769174631	0,425693769
Paillaco	14107	Los Ríos	20.915	0,529	0,172	0,509	Medio bajo	0,482	Medio bajo	0,528	Medio Alto	0,516	Medio Alto	0,508843666	0,482311520	0,527857681	0,516361798
Las Condes	13114	Metropolitana	341.183	0,936	0,044	0,69	Alto	0,708	Alto	0,788	Alto	0,574	Alto	0,689964409	0,708357924	0,787737474	0,573797828
Lo Barnechea	13115	Metropolitana	129.790	0,909	0,109	0,59	Alto	0,573	Medio Alto	0,615	Alto	0,582	Alto	0,590278834	0,573054537	0,615368223	0,582413742
Lo Espejo	13116	Metropolitana	101.615	0,5	0,288	0,54	Medio Alto	0,501	Medio Alto	0,57	Alto	0,549	Medio Alto	0,539985281	0,500655786	0,570287035	0,549013021
Los Muermos	10106	Los Lagos	17.831	0,494	0,292	0,51	Medio bajo	0,401	Bajo	0,538	Medio Alto	0,589	Alto	0,509596876	0,401467509	0,538465020	0,588858100
Macul	13118	Metropolitana	137.735	0,732	0,134	0,559	Alto	0,67	Alto	0,538	Medio Alto	0,469	Medio bajo	0,559146798	0,669938784	0,538465020	0,469036590
Maipú	13119	Metropolitana	586.337	0,7	0,148	0,548	Medio Alto	0,617	Alto	0,626	Alto	0,402	Bajo	0,548422172	0,616949988	0,625975562	0,402340967
Curarrehue	09104	La Araucanía	7.860	0,345	0,231	0,454	Bajo	0,376	Bajo	0,477	Medio bajo	0,508	Medio Alto	0,453660467	0,375750903	0,477472823	0,507757675
Melipilla	13501	Metropolitana	147.275	0,573	0,228	0,546	Medio Alto	0,481	Medio bajo	0,671	Alto	0,487	Medio bajo	0,546207866	0,480562448	0,671056750	0,487004400
Ñuñoa	13120	Metropolitana	263.319	0,858	0,052	0,622	Alto	0,761	Alto	0,69	Alto	0,416	Bajo	0,622225645	0,760833611	0,689619593	0,416223730
Padre Hurtado	13604	Metropolitana	79.925	0,655	0,196	0,573	Alto	0,623	Alto	0,565	Alto	0,532	Medio Alto	0,573116298	0,622769436	0,564983366	0,531596093
Conchalí	13104	Metropolitana	137.678	0,587	0,187	0,51	Medio bajo	0,582	Alto	0,507	Medio Alto	0,44	Bajo	0,509695295	0,582458498	0,506643004	0,439984383
Pedro Aguirre Cerda	13121	Metropolitana	105.483	0,564	0,202	0,608	Alto	0,579	Alto	0,66	Alto	0,586	Alto	0,608489137	0,578922999	0,660449412	0,586095001
Peñaflor	13605	Metropolitana	105.498	0,661	0,151	0,583	Alto	0,578	Alto	0,687	Alto	0,484	Medio bajo	0,582985148	0,578449321	0,686967758	0,483538366
Peñalolén	13122	Metropolitana	271.854	0,702	0,166	0,558	Alto	0,566	Medio Alto	0,69	Alto	0,419	Bajo	0,558181246	0,565523621	0,689619593	0,419400523
Río Claro	07108	Maule	15.042	0,519	0,208	0,456	Bajo	0,388	Bajo	0,52	Medio Alto	0,46	Medio bajo	0,455908162	0,387908463	0,519902177	0,459913846
Providencia	13123	Metropolitana	162.837	0,886	0,043	0,63	Alto	0,775	Alto	0,615	Alto	0,499	Medio bajo	0,629959860	0,775131275	0,615368223	0,499380082
Pudahuel	13124	Metropolitana	260.129	0,644	0,169	0,549	Medio Alto	0,588	Alto	0,626	Alto	0,433	Bajo	0,549033293	0,587813145	0,625975562	0,433311173
Puente Alto	13201	Metropolitana	664.370	0,662	0,189	0,575	Alto	0,584	Alto	0,679	Alto	0,461	Medio bajo	0,574848616	0,584257610	0,679012254	0,461275983
Quilicura	13125	Metropolitana	271.385	0,656	0,17	0,542	Medio Alto	0,539	Medio Alto	0,66	Alto	0,427	Bajo	0,542243666	0,538825529	0,660449412	0,427456057
Quinta Normal	13126	Metropolitana	140.964	0,604	0,197	0,565	Alto	0,609	Alto	0,599	Alto	0,485	Medio bajo	0,564617920	0,609478886	0,599457216	0,484917659
Recoleta	13127	Metropolitana	196.073	0,59	0,212	0,588	Alto	0,548	Medio Alto	0,663	Alto	0,552	Medio Alto	0,587985620	0,548477656	0,663101247	0,552377957
Renca	13128	Metropolitana	162.854	0,585	0,195	0,546	Medio Alto	0,557	Medio Alto	0,554	Medio Alto	0,526	Medio Alto	0,545684172	0,556501121	0,554376027	0,526175368
San Bernardo	13401	Metropolitana	345.583	0,606	0,187	0,539	Medio Alto	0,555	Medio Alto	0,61	Alto	0,451	Medio bajo	0,538640784	0,554821355	0,610064554	0,451036443
San Joaquín	13129	Metropolitana	103.420	0,611	0,196	0,556	Alto	0,598	Alto	0,652	Alto	0,419	Bajo	0,556318868	0,597756904	0,652493908	0,418705793
Quellón	10208	Los Lagos	29.942	0,544	0,299	0,456	Bajo	0,46	Medio bajo	0,438	Medio bajo	0,471	Medio bajo	0,456222577	0,459612397	0,437695304	0,471360030
San Miguel	13130	Metropolitana	142.549	0,727	0,129	0,596	Alto	0,77	Alto	0,554	Medio Alto	0,463	Medio bajo	0,595744672	0,769891810	0,554376027	0,462966179
Florida	08104	Biobío	11.868	0,561	0,274	0,457	Bajo	0,423	Medio bajo	0,44	Medio bajo	0,507	Medio bajo	0,456750335	0,422787493	0,440347139	0,507116372
San Ramón	13131	Metropolitana	84.495	0,54	0,192	0,546	Medio Alto	0,529	Medio Alto	0,446	Medio bajo	0,663	Alto	0,545681395	0,528598622	0,445650808	0,662794754
Santiago	13101	Metropolitana	536.089	0,662	0,165	0,56	Alto	0,656	Alto	0,607	Alto	0,417	Bajo	0,560038942	0,655540438	0,607412720	0,417163669
Talagante	13601	Metropolitana	84.670	0,65	0,17	0,519	Medio Alto	0,541	Medio Alto	0,52	Medio Alto	0,496	Medio bajo	0,518794003	0,540570628	0,519902177	0,495909205
Vilcún	09119	La Araucanía	32.238	0,532	0,227	0,457	Bajo	0,443	Medio bajo	0,467	Medio bajo	0,461	Medio bajo	0,456957375	0,442808661	0,466865485	0,461197980
Vitacura	13132	Metropolitana	97.388	0,961	0,024	0,637	Alto	0,699	Alto	0,66	Alto	0,551	Medio Alto	0,636956973	0,699204501	0,660449412	0,551217006
