Comuna	Código Comuna	Región	Habitantes	Índice de desarrollo humano	índice pobreza multidimensional	Valor Índice de inclusión digital	Categoría Índice de inclusión digital	Valor sub indicador 1_Acceso	Categoría sub indicador 1_Acceso	Valor sub indicador 2_Político	Categoría sub indicador 2_Político	Valor sub indicador 3_Educativo	Categoría sub indicador 3_Educativo	Valor Índice de inclusión digital	Valor sub indicador 1_Acceso	Valor sub indicador 2_Político	Valor sub indicador 3_Educativo
Juan Fernández	05104	Valparaíso	1.087	0,69	0,056			0,48	Medio bajo	0,411	Bajo				0,479503179	0,411176958	
Til Til	13303	Metropolitana	22.262	0,664	0,289	0,394	Bajo	0,488	Medio bajo	0,493	Medio Alto	0,2	Bajo	0,393948477	0,488019189	0,493383831	0,200442411
Santo Domingo	05606	Valparaíso	12.456	0,728	0,161	0,678	Alto	0,718	Alto	0,584	Alto	0,732	Alto	0,677749259	0,718012283	0,583546208	0,731689287
Valparaíso	05101	Valparaíso	319.745	0,625	0,191	0,616	Alto	0,628	Alto	0,769	Alto	0,452	Medio bajo	0,616198191	0,627623973	0,769174631	0,451795968
La Cruz	05504	Valparaíso	27.279	0,715	0,14			0,612	Alto	0,512	Medio Alto				0,612263631	0,511946673	
Viña del Mar	05109	Valparaíso	369.303	0,696	0,149	0,643	Alto	0,688	Alto	0,743	Alto	0,499	Medio bajo	0,643254898	0,687699580	0,742656285	0,499408830
Zapallar	05405	Valparaíso	8.281	0,695	0,266	0,607	Alto	0,63	Alto	0,696	Alto	0,495	Medio bajo	0,607060113	0,629632189	0,696318964	0,495229187
Chépica	06302	O'Higgins	16.106	0,496	0,164	0,536	Medio Alto	0,408	Bajo	0,493	Medio Alto	0,706	Alto	0,535782012	0,408117317	0,493383831	0,705844889
Navidad	06205	O'Higgins	7.081	0,517	0,206	0,471	Medio bajo	0,515	Medio Alto	0,554	Medio Alto	0,344	Bajo	0,470982224	0,515019418	0,554376027	0,343551226
Quinchao	10210	Los Lagos	8.212	0,569	0,252	0,471	Medio bajo	0,396	Bajo	0,475	Medio bajo	0,542	Medio Alto	0,471002026	0,396083633	0,474820989	0,542101457
Coinco	06103	O'Higgins	7.983	0,556	0,219			0,522	Medio Alto	0,645	Alto				0,522442478	0,644538404	
Cabildo	05402	Valparaíso	20.748	0,6	0,205	0,472	Medio bajo	0,456	Medio bajo	0,485	Medio bajo	0,476	Medio bajo	0,472448579	0,456180250	0,485428327	0,475737159
Doñihue	06105	O'Higgins	23.425	0,611	0,151	0,548	Medio Alto	0,513	Medio Alto	0,674	Alto	0,456	Medio bajo	0,547539183	0,512948177	0,673708585	0,455960787
Alto Del Carmen	03302	Atacama	5.775	0,566	0,279	0,396	Bajo	0,354	Bajo	0,366	Bajo	0,469	Medio bajo	0,396273149	0,354145423	0,366095769	0,468578254
La Estrella	06202	O'Higgins	3.103	0,564	0,159			0,443	Medio bajo	0,538	Medio Alto				0,443094368	0,538465020	
Toltén	09118	La Araucanía	9.966	0,444	0,267	0,397	Bajo	0,396	Bajo	0,255	Bajo	0,541	Medio Alto	0,396987845	0,395627810	0,254718716	0,540617011
Isla de Pascua	05201	Valparaíso	8.743	0,674	0,125	0,398	Bajo	0,462	Medio bajo	0,411	Bajo	0,321	Bajo	0,398101614	0,462437711	0,411176958	0,320690173
Curacautín	09203	La Araucanía	18.210	0,547	0,189	0,472	Medio bajo	0,518	Medio Alto	0,456	Medio bajo	0,44	Bajo	0,471691363	0,518319803	0,456258146	0,440496140
Machalí	06108	O'Higgins	63.642	0,78	0,129	0,558	Alto	0,627	Alto	0,551	Medio Alto	0,497	Medio bajo	0,558344355	0,626937694	0,551165912	0,496929459
Malloa	06109	O'Higgins	14.274	0,526	0,134	0,52	Medio Alto	0,414	Bajo	0,52	Medio Alto	0,626	Alto	0,519923251	0,413713258	0,519902177	0,626154316
Curaco de Vélez	10204	Los Lagos	4.120	0,605	0,263	0,398	Bajo	0,382	Bajo	0,438	Medio bajo	0,375	Bajo	0,398336458	0,381963359	0,437695304	0,375350710
Lago Ranco	14203	Los Ríos	10.280	0,459	0,354	0,472	Medio bajo	0,388	Bajo	0,475	Medio bajo	0,553	Medio Alto	0,471624706	0,387516958	0,474820989	0,552536172
Mostazal	06110	O'Higgins	28.295	0,594	0,21	0,474	Medio bajo	0,52	Medio Alto	0,501	Medio Alto	0,401	Bajo	0,473825917	0,519542084	0,501339335	0,400596333
San Ignacio	16108	Ñuble	16.614	0,437	0,216	0,474	Medio bajo	0,403	Bajo	0,467	Medio bajo	0,554	Medio Alto	0,474473251	0,402516723	0,466865485	0,554037545
Olivar	06111	O'Higgins	14.919	0,643	0,184	0,556	Alto	0,463	Medio bajo	0,448	Medio bajo	0,758	Alto	0,556452200	0,462719768	0,448302643	0,758334191
Lumaco	09207	La Araucanía	9.947	0,441	0,341	0,4	Bajo	0,36	Bajo	0,403	Bajo	0,438	Bajo	0,400307086	0,359985980	0,403221454	0,437713823
Saavedra	09116	La Araucanía	12.693	0,324	0,445	0,474	Medio bajo	0,376	Bajo	0,467	Medio bajo	0,578	Alto	0,473685061	0,375938490	0,466865485	0,578251209
Canela	04202	Coquimbo	9.524	0,516	0,239	0,406	Bajo	0,418	Medio bajo	0,348	Bajo	0,453	Medio bajo	0,406421143	0,418311295	0,347532927	0,453419206
María Pinto	13504	Metropolitana	15.503	0,607	0,272	0,407	Bajo	0,357	Bajo	0,517	Medio Alto	0,346	Bajo	0,406897789	0,357167934	0,517250343	0,346275091
San José de Maipo	13203	Metropolitana	19.330	0,66	0,244	0,41	Bajo	0,41	Bajo	0,483	Medio bajo	0,339	Bajo	0,410497555	0,409629218	0,482776493	0,339086955
Pichilemu	06201	O'Higgins	18.587	0,566	0,181	0,569	Alto	0,621	Alto	0,626	Alto	0,459	Medio bajo	0,568849248	0,621401470	0,625975562	0,459170713
Placilla	06308	O'Higgins	9.259	0,555	0,19			0,389	Bajo	0,438	Medio bajo				0,389492931	0,437695304	
Pumanque	06309	O'Higgins	3.520	0,489	0,147			0,396	Bajo	0,348	Bajo				0,396262055	0,347532927	
Dalcahue	10205	Los Lagos	15.368	0,544	0,286	0,474	Medio bajo	0,435	Medio bajo	0,456	Medio bajo	0,531	Medio Alto	0,474165119	0,434915563	0,456258146	0,531321649
Rancagua	06101	O'Higgins	272.290	0,658	0,147	0,592	Alto	0,642	Alto	0,618	Alto	0,516	Medio Alto	0,591853244	0,641794057	0,618020058	0,515745616
Rengo	06115	O'Higgins	65.318	0,571	0,136	0,572	Alto	0,576	Alto	0,573	Alto	0,566	Alto	0,571818301	0,576179502	0,572938870	0,566336532
Requinoa	06116	O'Higgins	31.410	0,627	0,168	0,536	Medio Alto	0,451	Medio bajo	0,427	Bajo	0,729	Alto	0,535812021	0,451359577	0,427087966	0,728988521
San Fernando	06301	O'Higgins	80.547	0,626	0,136	0,581	Alto	0,58	Alto	0,584	Alto	0,579	Alto	0,580805485	0,580131135	0,583546208	0,578739111
Los Lagos	14104	Los Ríos	20.523	0,512	0,241	0,476	Medio bajo	0,45	Medio bajo	0,467	Medio bajo	0,51	Medio Alto	0,475504632	0,449982745	0,466865485	0,509665665
Paine	13404	Metropolitana	87.059	0,598	0,209	0,477	Medio bajo	0,435	Medio bajo	0,528	Medio Alto	0,467	Medio bajo	0,476725345	0,435495282	0,527857681	0,466823072
Cauquenes	07201	Maule	44.389	0,544	0,161	0,537	Medio Alto	0,552	Medio Alto	0,472	Medio bajo	0,588	Alto	0,537338297	0,552315225	0,472169154	0,587530512
Ñiquén	16303	Ñuble	11.541	0,582	0,192	0,411	Bajo	0,365	Bajo	0,512	Medio Alto	0,355	Bajo	0,410639278	0,364698754	0,511946673	0,355272408
San Fabián	16304	Ñuble	4.761	0,503	0,15	0,411	Bajo	0,475	Medio bajo	0,411	Bajo	0,346	Bajo	0,410826210	0,475387935	0,411176958	0,345913737
Constitución	07102	Maule	50.601	0,582	0,172	0,517	Medio Alto	0,497	Medio Alto	0,538	Medio Alto	0,515	Medio Alto	0,516783270	0,496791870	0,538465020	0,515092921
Curepto	07103	Maule	9.209	0,5	0,125	0,526	Medio Alto	0,376	Bajo	0,554	Medio Alto	0,649	Alto	0,526163166	0,375564528	0,554376027	0,648548942
Curicó	07301	Maule	169.681	0,624	0,174	0,602	Alto	0,614	Alto	0,61	Alto	0,582	Alto	0,602073848	0,614455767	0,610064554	0,581701223
Calbuco	10102	Los Lagos	37.429	0,537	0,331	0,412	Bajo	0,46	Medio bajo	0,438	Medio bajo	0,34	Bajo	0,412497025	0,460094949	0,437695304	0,339700823
Hualañé	07302	Maule	10.230	0,516	0,161	0,533	Medio Alto	0,403	Bajo	0,483	Medio bajo	0,713	Alto	0,532838265	0,403053037	0,482776493	0,712685264
Licantén	07303	Maule	6.989	0,57	0,144	0,526	Medio Alto	0,505	Medio Alto	0,475	Medio bajo	0,597	Alto	0,525626339	0,505100907	0,474820989	0,596957121
Linares	07401	Maule	103.303	0,619	0,105	0,547	Medio Alto	0,535	Medio Alto	0,509	Medio Alto	0,596	Alto	0,546778250	0,534972411	0,509294839	0,596067501
Diego de Almagro	03202	Atacama	14.019	0,72	0,189	0,414	Bajo	0,464	Medio bajo	0,329	Bajo	0,45	Medio bajo	0,414458123	0,464199661	0,328970085	0,450204622
